Сезонный 44,$299.00,,,,,,,,,,,,,,
Rareness,number,id,name,Type,cost,Drops / case cost,chance,Group chance,Winrate,soft,exp,,,,
5,,214,Спидерман,Skin,₽500,0.6,5.56%,11.11%,92.82%,"100,000","1,500",,,,
5,,161,Геральд,Skin,₽500,0.6,5.56%,,,"100,000","1,500",,,,
4,,6744,Брэд,Skin,₽400,0.75,6.94%,14.81%,,"75,000","1,000",,,,
4,,85,Джонни,Skin,₽350,0.85,7.87%,,,"50,000","1,000",,,,
3,,151,Билли,Skin,₽300,1,9.26%,18.52%,,"45,000",500,,,,
3,,39,Лилит,Skin,₽300,1,9.26%,,,"45,000",500,,,,
2,2219,cap5,Шляпа_ведьмы,acces,₽200,1.5,13.89%,27.78%,,"25,000",500,,,,
2,,s115,Силовая,vinyl,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
1,,s119,Веном,vinyl,₽200,1.5,13.89%,27.78%,,unavailable,unavailable,,,,
1,,s117,Психо,vinyl,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
,,,,,,10.8,100.00%,,,,,,,,
