Сезонный 47,$299.00,,,,,,,,,,,,,,
Rareness,number,id,name,Type,cost,Drops / case cost,chance,Group chance,Winrate,soft,exp,,,,
5,,6627,Maserati GranTurismo S ,car,"₽13,639",0.02,0.19%,11.11%,92.67%,unavailable,unavailable,,тюнинг для топ-приза:,,
5,,97,Лектор,Skin,₽500,0.6,5.60%,,,"100,000","1,500",,"{
    color = { 0, 0, 0 },
    headlights_color = { 0, 255, 205 },
    height_level = 0,
    installed_vinyls = {
        [2] = {
            [3] = 5,
            [7] = ""gradient"",
            [10] = 490000,
            [14] = ""soft"",
            [15] = ""gradient"",
            [16] = 2,
            [17] = {
                color = -19159,
                rotation = 269.86923,
                size = 1.8502564,
                x = 512,
                y = 39
            }
        },
        [3] = {
            [3] = 5,
            [7] = ""gradient"",
            [10] = 490000,
            [14] = ""soft"",
            [15] = ""gradient"",
            [16] = 3,
            [17] = {
                color = -19159,
                rotation = 90.130768,
                size = 1.8565384,
                x = 512,
                y = 986
            }
        },
        [4] = {
            [3] = 5,
            [7] = ""spitfire6"",
            [10] = 402500,
            [14] = ""soft"",
            [15] = ""spitfire6"",
            [16] = 4,
            [17] = {
                color = -17565,
                rotation = 270.3923,
                size = 1.0897436,
                x = 805,
                y = 518
            }
        },
        [5] = {
            [3] = 5,
            [7] = ""mirage4"",
            [10] = 140000,
            [14] = ""soft"",
            [15] = ""mirage4"",
            [16] = 5,
            [17] = {
                color = -4401,
                rotation = 99.361542,
                size = 1.5641025,
                x = 512,
                y = 512
            }
        },
        [6] = {
            [3] = 5,
            [7] = ""mirage4"",
            [10] = 140000,
            [14] = ""soft"",
            [15] = ""mirage4"",
            [16] = 6,
            [17] = {
                color = -4401,
                rotation = 0,
                size = 0.57692307,
                x = 840,
                y = 523
            }
        },
        [7] = {
            [3] = 5,
            [7] = ""dlf3"",
            [10] = 245000,
            [14] = ""soft"",
            [15] = ""dlf3"",
            [16] = 7,
            [17] = {
                rotation = 0,
                size = 0.44435897,
                x = 817,
                y = 494
            }
        },
        [8] = {
            [3] = 5,
            [7] = ""spitfire6"",
            [10] = 402500,
            [14] = ""soft"",
            [15] = ""spitfire6"",
            [16] = 8,
            [17] = {
                color = -17565,
                mirror = true,
                rotation = 178.08461,
                size = 1.1410257,
                x = 512,
                y = 280
            }
        },
        [9] = {
            [3] = 5,
            [7] = ""spitfire6"",
            [10] = 402500,
            [14] = ""soft"",
            [15] = ""spitfire6"",
            [16] = 9,
            [17] = {
                color = -17565,
                rotation = 0,
                size = 1.1410257,
                x = 512,
                y = 753
            }
        }
    },
    neon_data = {},
    tuning_external = {},
    wheels_camber = { 0, 0 },
    wheels_offset = { 0, 0 },
    wheels_width = { 0, 0 },
    windows_color = { 0, 0, 0, 120 }
}",,
4,,15,Леопольд,Skin,₽400,0.75,7.00%,14.81%,,"75,000","1,000",,винилы (id):,имена,количества:
4,,218,Ержан,Skin,₽350,0.85,7.93%,,,"50,000","1,000",,17,gradient,2
3,,160,Аккуратный,Skin,₽300,1,9.33%,18.52%,,"45,000",500,,20,spitfire6,3
3,,137,Блек,Skin,₽200,1.5,13.99%,,,"45,000",500,,100,mirage4,1
2,,7,Бен,Skin,₽200,1.5,13.99%,27.78%,,"25,000",500,,,,
2,,s131,Опасная штучка,vinyl,₽200,1.5,13.99%,,,unavailable,unavailable,,,,
1,2425,guitar2,Электрогитара_2,acces,₽200,1.5,13.99%,27.78%,,"25,000",500,,,,
1,,s78,Закон,vinyl,₽200,1.5,13.99%,,,unavailable,unavailable,,,,
,,,,,,10.72,100.00%,,,,,,,,
