Сезонный 46,$299.00,,,,,,,,,,,,,,
Rareness,number,id,name,Type,cost,Drops / case cost,chance,Group chance,Winrate,soft,exp,,,,
5,,50,Вурхиз,Skin,₽500,0.6,5.56%,11.11%,92.82%,"100,000","1,500",,,,
5,,121,Скорпион,Skin,₽500,0.6,5.56%,,,"100,000","1,500",,,,
4,,212,Рорших,Skin,₽400,0.75,6.94%,14.81%,,"75,000","1,000",,,,
4,,11,Стримерша,Skin,₽350,0.85,7.87%,,,"50,000","1,000",,,,
3,,6720,Шут,Skin,₽300,1,9.26%,18.52%,,"45,000",500,,,,
3,,16,Джон,Skin,₽300,1,9.26%,,,"45,000",500,,,,
2,,s68,Разрушитель,Vynil,₽200,1.5,13.89%,27.78%,,unavailable,unavailable,,,,
2,,s70,Якутяночка,Vynil,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
1,2670,m2_asce11,Молот_Тора,acces,₽200,1.5,13.89%,27.78%,,"25,000",500,,,,
1,,s71,Король и Шут,vinyl,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
,,,,,,10.8,100.00%,,,,,,,,
