Сезонный 45,$299.00,,,,,,,,,,,,,,
Rareness,number,id,name,Type,cost,Drops / case cost,chance,Group chance,Winrate,soft,exp,,,,
5,,140,Хитмен,Skin,₽500,0.6,5.56%,11.11%,92.82%,"100,000","1,500",,,,
5,,155,Робокоп,Skin,₽500,0.6,5.56%,,,"100,000","1,500",,,,
4,,49,Захватчик,Skin,₽400,0.75,6.94%,14.81%,,"75,000","1,000",,,,
4,,103,Байкер,Skin,₽350,0.85,7.87%,,,"50,000","1,000",,,,
3,,134,Стейтхам,Skin,₽300,1,9.26%,18.52%,,"45,000",500,,,,
3,,6732,наташа,Skin,₽300,1,9.26%,,,"45,000",500,,,,
2,,s79,Плющ,vinyl,₽200,1.5,13.89%,27.78%,,unavailable,unavailable,,,,
2,,s81,Самурай,vinyl,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
1,770,m3_acse30,Очки Гогглы,acces,₽200,1.5,13.89%,27.78%,,"25,000",500,,,,
1,,s72,Бог войны,vinyl,₽200,1.5,13.89%,,,unavailable,unavailable,,,,
,,,,,,10.8,100.00%,,,,,,,,
