,Happy,,,,,,"$5,000.00",,Winrate_happy
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,93.86%
,6 сезон,,,,,,,,
5,503,BMW M NEXT,"12,000,000","45,000,000",BMW M NEXT,car,$0.0001,0.0003%,
5,100,alien,"7,000,000","7,000,000",Пришелиц,skin,$0.0007,0.0021%,
5,48,darth_vader,"2,399,000","2,399,000",Дарт вейдер,skin,$0.0021,0.0062%,
5,218,yerzhan,"2,500,000","2,500,000",Ержан,skin,$0.0020,0.0059%,
5,neon_69,blue_flame,"999,000","1,000,000",Синие пламя,neon,$0.0050,0.0147%,
5,neon_19,return,"729,000","1,000,000",Возвращение,neon,$0.0050,0.0147%,
5,neon_1,star_regiment,"999,000","1,000,000",Звездный полк,neon,$0.0050,0.0147%,
5,neon_67,x_space,"939,000","1,000,000",Икс космос,neon,$0.0050,0.0147%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0050%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0147%,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0197%,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0294%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0491%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0979%,
3,,,"87,000","87,000",3 Жетона,,$0.0575,0.1691%,
2,,,"29,000","29,000",Жетон,,$0.1724,0.5071%,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.5882%,
1,,,"2,000","2,000",рублей,money,$2.5000,7.3529%,
1,,,"2,000","2,000",рублей,money,$2.5000,7.3529%,
1,,,"1,500","1,500",рублей,money,$3.3333,9.8037%,
1,,,"1,500","1,500",рублей,money,$3.3333,9.8037%,
1,,,"2,000","2,000",рублей,money,$2.5000,7.3529%,
1,,,"1,000","1,000",рублей,money,$5.0000,14.7057%,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.49%,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.74%,
1,10,10k,"10,000","10,000",рублей,money,$0.5000,1.47%,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.98%,
1,1100,2k_exp,"3,000","9,000",exp,exp,$0.5556,1.63%,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,7.35%,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.90%,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,9.80%,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,14.71%,
,,,,,,,34.0004,100.0000%,
,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,94.61%
,6 сезон,,,,,,,,
5,503,BMW M NEXT,"12,000,000","45,000,000",BMW M NEXT,car,$0.0002,0.0006%,
5,100,alien,"7,000,000","7,000,000",Пришелиц,skin,$0.0014,0.0042%,
5,48,darth_vader,"2,399,000","2,399,000",Дарт вейдер,skin,$0.0042,0.0125%,
5,218,yerzhan,"2,500,000","2,500,000",Ержан,skin,$0.0040,0.0119%,
5,neon_69,blue_flame,"999,000","1,000,000",Синие пламя,neon,$0.0100,0.0297%,
5,neon_19,return,"729,000","1,000,000",Возвращение,neon,$0.0100,0.0297%,
