выгрузка 18.03.21,Happy,,,,,,"$5,000.00",,Winrate_happy,,
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.58%,,тюнинг топ-приза:
около 17.03,,,,,,,,,,,"{
    color = { 0, 182, 0 },
    headlights_color = { 0, 255, 0 },
    height_level = 0,
    installed_vinyls = { {
            [3] = 5,
            [7] = 238,
            [10] = 360000,
            [14] = ""soft"",
            [15] = 238,
            [16] = 1,
            [17] = {
                rotation = 0,
                size = 0.47,
                x = 512,
                y = 780
            }
        }, {
            [3] = 5,
            [7] = ""mirage12"",
            [10] = 288000,
            [14] = ""soft"",
            [15] = ""mirage12"",
            [16] = 2,
            [17] = {
                rotation = 95.384613,
                size = 0.21576923,
                x = 630,
                y = 833
            }
        }, {
            [3] = 5,
            [7] = ""mirage12"",
            [10] = 288000,
            [14] = ""soft"",
            [15] = ""mirage12"",
            [16] = 3,
            [17] = {
                mirror = true,
                rotation = 265.74615,
                size = 0.22108974,
                x = 392,
                y = 832
            }
        }, {
            [3] = 5,
            [7] = ""dlf1"",
            [10] = 140000,
            [14] = ""soft"",
            [15] = ""dlf1"",
            [16] = 4,
            [17] = {
                color = -16711865,
                mirror = true,
                rotation = 33.846153,
                size = 0.32051283,
                x = 597,
                y = 618
            }
        } },
    neon_data = {},
    tuning_external = {},
    wheels_camber = { 0, 0 },
    wheels_offset = { 0, 0 },
    wheels_width = { 0, 0 },
    windows_color = { 0, 0, 0, 120 }
}"
5,6606,Mercedes-Benz 300 SL Coupe,"18,900,000","39,900,000",Mercedes-Benz 300 SL Coupe,car,$0.0001,0.0002%,,,
5,6737,ellie,"690,000","1,000,000",Элли,skin,$0.0050,0.0124%,,,
5,195,trevor,"890,000","1,050,000",Тревор,skin,$0.0048,0.0119%,,,
5,cap4,leprechaun_hat,"299,000","1,190,000",Шляпа_лепрекона,acces,$0.0042,0.0105%,,,
5,6716,mr_green,"290,000","1,500,000",Мистер Грин,skin,$0.0033,0.0082%,,,
5,neon_22,bmw,"989,000","1,500,000",BMW,neon,$0.0033,0.0082%,,,
5,41,smoke,"99,000","1,000,000",Смоук,vinyl,$0.0050,0.0124%,,,
5,scarf_g,green_scarf,"200,000","1,500,000",Зеленый_шарф,acces,$0.0033,0.0082%,,,
,Постоянные предметы,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,,реф:,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,,,
