april_fools,Happy,,,,,,"$5,000.00",,Winrate_happy,,
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.58%,,тюнинг топ-приза:
выгрузка 01.04.21,,,,,,,,,,,"{
    color = { 255, 119, 3 },
    headlights_color = { 179, 60, 255 },
    height_level = 0,
    installed_vinyls = { {
            [3] = 5,
            [7] = 113,
            [10] = 192000,
            [14] = ""soft"",
            [15] = 113,
            [16] = 1,
            [17] = {
                color = -16715009,
                rotation = 178.08461,
                size = 1.5,
                x = 512,
                y = 331
            }
        }, {
            [3] = 5,
            [7] = 111,
            [10] = 168000,
            [14] = ""soft"",
            [15] = 111,
            [16] = 2,
            [17] = {
                color = -12255251,
                mirror = false,
                rotation = 190.3923,
                size = 1.5,
                x = 512,
                y = 754
            }
        }, {
            [3] = 5,
            [7] = 206,
            [10] = 792000,
            [14] = ""soft"",
            [15] = 206,
            [16] = 3,
            [17] = {
                rotation = 270.3923,
                size = 0.41871795,
                x = 867,
                y = 512
            }
        }, {
            [3] = 5,
            [7] = 99,
            [10] = 129600,
            [14] = ""soft"",
            [15] = 99,
            [16] = 4,
            [17] = {
                rotation = 270.3923,
                size = 0.3974359,
                x = 512,
                y = 499
            }
        } },
    neon_data = {},
    tuning_external = {},
    wheels_camber = { 0, 0 },
    wheels_offset = { 0, 0 },
    wheels_width = { 0, 0 },
    windows_color = { 0, 0, 0, 120 }
}"
5,415,lamborghini hurracan,"15,000,000","39,900,000",lamborghini hurracan,car,$0.0001,0.0002%,,,
5,218,yerzhan,"2,500,000","2,500,000",Ержан,skin,$0.0020,0.0050%,,,
5,204,microhelix,"210,000","1,050,000",Микрочелик,skin,$0.0048,0.0119%,,,
5,mask_v,guy_mask,"439,000","1,190,000",Маска_Гая,acces,$0.0042,0.0105%,,,
5,43,king_yerzhan,"89,000","1,500,000",Царь ержан,vinyl,$0.0033,0.0082%,,,
5,neon_68,monster,"979,000","1,500,000",Монстер,neon,$0.0033,0.0082%,,,
5,neon_64,particle_explosion,"819,000","1,000,000",Взрыв частиц,neon,$0.0050,0.0124%,,,
5,mask_saw,clown_mask,"289,000","1,500,000",Маска_клоуна,acces,$0.0033,0.0082%,,,
,Постоянные предметы,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,,реф:,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,,,
3,,,"87,000","87,000",3 Жетона,other,$0.0575,0.14%,,,
2,,,"29,000","29,000",Жетон,other,$0.1724,0.43%,,,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,,,
3,m2_asce012,cocked_hat,"170,000","60,000",Треуголка,acces,$0.0833,0.21%,,,
3,4,joker,"169,000","50,000",Джокер,vinyl,$0.1000,0.25%,,,
4,48,parkur_5,"1,300,000","30,000",Прыжок на руки,anim,$0.1667,0.41%,,,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.41%,,,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,,,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.24%,,,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,,,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.38%,,,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.15%,,,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.44%,,,
,,,,,,,40.1848,100.0000%,,,
,,,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,94.28%,,
,,,,,,,,,,,
5,415,lamborghini hurracan,"15,000,000","39,900,000",lamborghini hurracan,car,$0.0003,0.0008%,,,
5,218,yerzhan,"2,500,000","2,500,000",Ержан,skin,$0.0040,0.0104%,,,
5,204,microhelix,"210,000","1,050,000",Микрочелик,skin,$0.0095,0.0247%,,,
5,mask_v,guy_mask,"439,000","1,190,000",Маска_Гая,acces,$0.0084,0.0219%,,,
5,43,king_yerzhan,"89,000","1,500,000",Царь ержан,vinyl,$0.0067,0.0175%,,,
5,neon_68,monster,"979,000","1,500,000",Монстер,neon,$0.0067,0.0175%,,,
5,neon_64,particle_explosion,"819,000","1,000,000",Взрыв частиц,neon,$0.0100,0.0260%,,,
5,mask_saw,clown_mask,"289,000","1,500,000",Маска_клоуна,acces,$0.0067,0.0175%,,,
,Постоянные предметы,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0033,0.0086%,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0100,0.0260%,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0133,0.0346%,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0200,0.0521%,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0333,0.0867%,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0667,0.1737%,,,
3,100,100k,"100,000","100,000",рублей,money,$0.1000,0.2605%,,,
3,,,"99,000","99,000",Бронзовый кейс,other,$0.1010,0.2631%,,,
3,,,"87,000","87,000",3 Жетона,other,$0.1149,0.2993%,,,
2,,,"29,000","29,000",Жетон,other,$0.3448,0.8981%,,,
2,repairbox,,"25,000","25,000",Рем. комплект,other,$0.4000,1.0419%,,,
1,,,"4,000","12,000",exp,exp,$0.8333,2.1705%,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4186%,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4186%,,,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0232%,,,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0232%,,,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4186%,,,
3,m2_asce012,cocked_hat,"170,000","60,000",Треуголка,acces,$0.1667,0.4342%,,,
3,4,joker,"169,000","50,000",Джокер,vinyl,$0.2000,0.5209%,,,
4,48,parkur_5,"1,300,000","30,000",Прыжок на руки,anim,$0.3333,0.8681%,,,
3,50,50k,"50,000","50,000",рублей,money,$0.2000,0.5209%,,,
2,25,25k,"25,000","25,000",рублей,money,$0.4000,1.0419%,,,
2,20,20k,"20,000","30,000",exp,exp,$0.3333,0.8681%,,,
1,1100,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3412%,,,
1,10,10k,"10,000","10,000",рублей,money,$1.0000,2.6046%,,,
1,1050,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3412%,,,
1,2,2k,"2,000","2,000",рублей,money,$5.0000,13.0232%,,,
1,3,3k,"3,000","3,000",рублей,money,$3.3333,8.6821%,,,
,,,,,,,38.3929,100.0000%,,,
,,,,,,,,,,,
,Story,,,,,,"$15,000.00",,,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,Winrate_story,,
,,,,,,,,,91.24%,,
5,415,lamborghini hurracan,"15,000,000","39,900,000",lamborghini hurracan,car,$0.0004,0.0010%,,,
5,218,yerzhan,"2,500,000","2,500,000",Ержан,skin,$0.0060,0.0156%,,,
5,204,microhelix,"210,000","1,050,000",Микрочелик,skin,$0.0143,0.0372%,,,
5,mask_v,guy_mask,"439,000","1,190,000",Маска_Гая,acces,$0.0126,0.0329%,,,
5,43,king_yerzhan,"89,000","1,500,000",Царь ержан,vinyl,$0.0100,0.0261%,,,
5,neon_68,monster,"979,000","1,500,000",Монстер,neon,$0.0100,0.0261%,,,
5,neon_64,particle_explosion,"819,000","1,000,000",Взрыв частиц,neon,$0.0150,0.0391%,,,
5,mask_saw,clown_mask,"289,000","1,500,000",Маска_клоуна,acces,$0.0100,0.0261%,,,
,Постоянные предметы,,,,,,,0.0000%,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0050,0.0130%,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0150,0.0391%,,,
4,750,750k,"750,000","750,000",рублей,money,$0.0200,0.0521%,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0300,0.0782%,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0500,0.1303%,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.1000,0.2607%,,,
3,100,100k,"100,000","100,000",рублей,money,$0.1500,0.3910%,,,
3,,,"149,000","149,000",Серебряный кейс,other,$0.1007,0.2624%,,,
3,,,"297,000","297,000",3 VIP жетонов,other,$0.0505,0.1317%,,,
3,,,"99,000","99,000",VIP жетон,other,$0.1515,0.3950%,,,
1,,,"6,000","18,000",exp,exp,$0.8333,2.1724%,,,
1,,,"4,500","13,500",exp,exp,$1.1111,2.8966%,,,
1,,,"5,000","5,000",рублей,money,$3.0000,7.8207%,,,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0345%,,,
1,,,"2,500","2,500",рублей,money,$6.0000,15.6414%,,,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0345%,,,
3,m2_asce012,cocked_hat,"170,000","60,000",Треуголка,acces,$0.2500,0.6517%,,,
3,4,joker,"169,000","50,000",Джокер,vinyl,$0.3000,0.7821%,,,
4,48,parkur_5,"1,300,000","30,000",Прыжок на руки,anim,$0.5000,1.3035%,,,
3,50,50k,"50,000","50,000",рублей,money,$0.3000,0.7821%,,,
2,25,25k,"25,000","25,000",рублей,money,$0.6000,1.5641%,,,
2,20,20k,"20,000","60,000",exp,exp,$0.2500,0.6517%,,,
1,1100,7k_exp,"7,000","21,000",exp,exp,$0.7143,1.8621%,,,
1,10,10k,"10,000","10,000",рублей,money,$1.5000,3.9104%,,,
1,1050,5k_exp,"5,000","15,000",exp,exp,$1.0000,2.6069%,,,
1,2,2k,"2,000","2,000",рублей,money,$7.5000,19.5518%,,,
1,4,4k,"4,000","4,000",рублей,money,$3.7500,9.7759%,,,
,,,,,,,38.3596882,100.0000%,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,старое:,,,,,,,,,,
,545,mclaren_p1,"29,900,000","29,900,000",McLaren p1,car,,,,,
,212,rorschikh,"2,500,000","2,500,000",Рорших,skin,,,,,
,218,yerzhan,"2,500,000","2,500,000",Ержан,skin,,,,,
,153,yeni,"4,500,000","4,500,000",Ени,skin,,,,,
