выгрузка 15.04.21,Happy,,,,,,"$5,000.00",,Winrate_happy,,
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.55%,,тюнинг топ-приза:
,,,,,,,,,,,"{
    color = { 255, 198, 146 },
    headlights_color = { 232, 44, 255 },
    height_level = 0,
    installed_vinyls = { {
            [3] = 5,
            [7] = ""peek4"",
            [10] = 525000,
            [14] = ""soft"",
            [15] = ""peek4"",
            [16] = 1,
            [17] = {
                color = -10858429,
                mirror = true,
                rotation = 181.53847,
                size = 0.67512822,
                x = 473,
                y = 843
            }
        }, {
            [3] = 5,
            [7] = ""peek4"",
            [10] = 525000,
            [14] = ""soft"",
            [15] = ""peek4"",
            [16] = 2,
            [17] = {
                color = -10858429,
                mirror = false,
                rotation = 0,
                size = 0.68141025,
                x = 474,
                y = 188
            }
        }, {
            [3] = 5,
            [7] = ""peek9"",
            [10] = 105000,
            [14] = ""soft"",
            [15] = ""peek9"",
            [16] = 3,
            [17] = {
                color = -10858429,
                rotation = 0,
                size = 0.6025641,
                x = 478,
                y = 512
            }
        }, {
            [3] = 5,
            [7] = 236,
            [10] = 187200,
            [14] = ""soft"",
            [15] = 236,
            [16] = 4,
            [17] = {
                rotation = 270.3923,
                size = 0.1923077,
                x = 743,
                y = 512
            }
        }, {
            [3] = 5,
            [7] = ""spitfire6"",
            [10] = 402500,
            [14] = ""soft"",
            [15] = ""spitfire6"",
            [16] = 5,
            [17] = {
                color = -7491,
                rotation = 268.59232,
                size = 1.0897436,
                x = 149,
                y = 515
            }
        } },
    neon_data = {},
    tuning_external = {},
    wheels_camber = { 0, 0 },
    wheels_offset = { 0, 0 },
    wheels_width = { 0, 0 },
    windows_color = { 0, 0, 0, 120 }
}"
5,6616,Ford Shelby Mustang GT500,"27,900,000","39,900,000",Ford Shelby Mustang GT500,car,$0.0001,0.0002%,,,
5,163,devil,"3,500,000","3,500,000",Дьявол,skin,$0.0014,0.0035%,,,
5,30,scott,"1,390,000","1,390,000",Скотт,skin,$0.0036,0.0090%,,,
5,6732,natasha,"549,000","1,190,000",Наташа,skin,$0.0042,0.0105%,,,
5,neon_37,card_passion,"959,000","959,000",Карточная страсть,neon,$0.0052,0.0129%,,,
5,m3_acse15,brown_cowboy_hat,"599,000","1,500,000",Ковбойская шляпа коричневая,acces,$0.0033,0.0082%,,,
5,32,dance_5,"1,200,000","1,200,000",Танец_5,anim,$0.0042,0.0105%,,,
5,34,21,"169,000","1,500,000",21,vinyl,$0.0033,0.0082%,,,
,Постоянные предметы,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,,реф:,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,,,
3,,,"87,000","87,000",3 Жетона,other,$0.0575,0.14%,,,
2,,,"29,000","29,000",Жетон,other,$0.1724,0.43%,,,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,,,
