выгрузка 25.03.21,Happy,,,,,,"$5,000.00",,Winrate_happy,
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.67%,
,,,,,,,,,,
5,535,Porsche 911 Turbo S,"14,000,000","39,900,000",Porsche 911 Turbo S,car,$0.0001,0.0002%,,реф:
5,76,on_style,"1,050,000","1,000,000",На стиле,skin,$0.0050,0.0124%,,
5,245,fashionista,"350,000","1,050,000",Модница,skin,$0.0048,0.0119%,,
5,291,americanboy,"390,000","1,190,000",Американбой,skin,$0.0042,0.0105%,,
5,278,model,"390,000","1,500,000",Модель,skin,$0.0033,0.0082%,,
5,m3_acse01,sombrero,"799,000","1,500,000",Сомбреро,acces,$0.0033,0.0082%,,
5,neon_60,music_in_blood,"729,000","1,000,000",Музыка в крови,neon,$0.0050,0.0124%,,
5,52,parkur_9,"2,700,000","2,700,000",Стойка на руках 2,anim,$0.0019,0.0047%,,
,Постоянные предметы,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,,
3,,,"87,000","87,000",3 Жетона,other,$0.0575,0.14%,,
2,,,"29,000","29,000",Жетон,other,$0.1724,0.43%,,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,,
3,203,sunburnt,"315,000","60,000",Загорелый,skin,$0.0833,0.21%,,
3,36,eternal_love,"139,000","50,000",Вечная любовь,vinyl,$0.1000,0.25%,,
4,neon_2,drowning,"899,000","30,000",Утопление,neon,$0.1667,0.41%,,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.41%,,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.24%,,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.38%,,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.22%,,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.15%,,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.29%,,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.44%,,
,,,,,,,40.1864,100.0000%,,
,,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,94.25%,
,,,,,,,,,,
5,535,Porsche 911 Turbo S,"14,000,000","39,900,000",Porsche 911 Turbo S,car,$0.0003,0.0008%,,
5,76,on_style,"1,050,000","1,000,000",На стиле,skin,$0.0100,0.0260%,,
5,245,fashionista,"350,000","1,050,000",Модница,skin,$0.0095,0.0247%,,
5,291,americanboy,"390,000","1,190,000",Американбой,skin,$0.0084,0.0219%,,
5,278,model,"390,000","1,500,000",Модель,skin,$0.0067,0.0174%,,
5,m3_acse01,sombrero,"799,000","1,500,000",Сомбреро,acces,$0.0067,0.0174%,,
5,neon_60,music_in_blood,"729,000","1,000,000",Музыка в крови,neon,$0.0100,0.0260%,,
5,52,parkur_9,"2,700,000","2,700,000",Стойка на руках 2,anim,$0.0037,0.0096%,,
,Постоянные предметы,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0033,0.0086%,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0100,0.0260%,,
4,750,750k,"750,000","750,000",рублей,money,$0.0133,0.0346%,,
3,500,500k,"500,000","500,000",рублей,money,$0.0200,0.0521%,,
