,Happy,,,,,,"$5,000.00",выгрузка 18.02.21,Winrate_happy
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,92.18%
,,,,,,,,,
5,6569,Rolls - Royce Cullinan,"24,900,000","24,900,000",Rolls - Royce Cullinan,car,$0.0002,0.0005%,
5,122,sub_zero,"999,000","1,000,000",Саб зиро,skin,$0.0050,0.0124%,
5,48,darth_vader,"2,399,000","2,399,000",Дарт вейдер,skin,$0.0021,0.0052%,
5,190,john_snow,"1,390,000","1,190,000",Джон Сноу,skin,$0.0042,0.0105%,
5,neon_23,dissolution,"1,990,000","1,990,000",Растворение,neon,$0.0025,0.0062%,
5,neon_66,neon_path,"919,000","919,000",Неоновый путь,neon,$0.0054,0.0134%,
5,neon_69,blue_flame,"999,000","999,000",Синие пламя,neon,$0.0050,0.0124%,
5,52,parkur_9,"2,700,000","2,700,000",Стойка на руках 2,anim,$0.0019,0.0047%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,
3,,,"87,000","87,000",3 Жетона,other,$0.0575,0.14%,
2,,,"29,000","29,000",Жетон,other,$0.1724,0.43%,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,
3,m3_acse03,skull_scarf,"119,000","60,000",Платок с черепом,acces,$0.0833,0.21%,
3,m3_acse16,spiked_collar,"129,000","50,000",Шипастый ошейник,acces,$0.1000,0.25%,
4,44,parkur_1,"500,000","30,000",Сальто назад,anim,$0.1667,0.41%,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.41%,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.24%,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.38%,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.15%,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.29%,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.44%,
,,,,,,,40.1851,100.0000%,
,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,93.73%
,,,,,,,,,
5,6569,Rolls - Royce Cullinan,"24,900,000","24,900,000",Rolls - Royce Cullinan,car,$0.0004,0.0010%,
5,122,sub_zero,"999,000","1,000,000",Саб зиро,skin,$0.0100,0.0260%,
5,48,darth_vader,"2,399,000","2,399,000",Дарт вейдер,skin,$0.0042,0.0109%,
5,190,john_snow,"1,390,000","1,190,000",Джон Сноу,skin,$0.0084,0.0219%,
5,neon_23,dissolution,"1,990,000","1,990,000",Растворение,neon,$0.0050,0.0130%,
5,neon_66,neon_path,"919,000","919,000",Неоновый путь,neon,$0.0109,0.0284%,
5,neon_69,blue_flame,"999,000","999,000",Синие пламя,neon,$0.0100,0.0260%,
5,52,parkur_9,"2,700,000","2,700,000",Стойка на руках 2,anim,$0.0037,0.0096%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0033,0.0086%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0100,0.0260%,
4,750,750k,"750,000","750,000",рублей,money,$0.0133,0.0346%,
3,500,500k,"500,000","500,000",рублей,money,$0.0200,0.0521%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0333,0.0867%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0667,0.1737%,
3,100,100k,"100,000","100,000",рублей,money,$0.1000,0.2605%,
3,,,"99,000","99,000",Бронзовый кейс,other,$0.1010,0.2631%,
3,,,"87,000","87,000",3 Жетона,other,$0.1149,0.2993%,
2,,,"29,000","29,000",Жетон,other,$0.3448,0.8981%,
2,repairbox,,"25,000","25,000",Рем. комплект,other,$0.4000,1.0419%,
1,,,"4,000","12,000",exp,exp,$0.8333,2.1704%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4185%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4185%,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0231%,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0231%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4185%,
3,m3_acse03,skull_scarf,"119,000","60,000",Платок с черепом,acces,$0.1667,0.4342%,
3,m3_acse16,spiked_collar,"129,000","50,000",Шипастый ошейник,acces,$0.2000,0.5209%,
4,44,parkur_1,"500,000","30,000",Сальто назад,anim,$0.3333,0.8681%,
3,50,50k,"50,000","50,000",рублей,money,$0.2000,0.5209%,
2,25,25k,"25,000","25,000",рублей,money,$0.4000,1.0419%,
2,20,20k,"20,000","30,000",exp,exp,$0.3333,0.8681%,
1,1100,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3411%,
1,10,10k,"10,000","10,000",рублей,money,$1.0000,2.6046%,
1,1050,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3411%,
1,2,2k,"2,000","2,000",рублей,money,$5.0000,13.0231%,
1,3,3k,"3,000","3,000",рублей,money,$3.3333,8.6820%,
,,,,,,,38.3932,100.0000%,
,,,,,,,,,
,Story,,,,,,"$15,000.00",,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,Winrate_story
,,,,,,,,,91.24%
5,6569,Rolls - Royce Cullinan,"24,900,000","24,900,000",Rolls - Royce Cullinan,car,$0.0006,0.0016%,
5,122,sub_zero,"999,000","1,000,000",Саб зиро,skin,$0.0150,0.0391%,
5,48,darth_vader,"2,399,000","2,399,000",Дарт вейдер,skin,$0.0063,0.0163%,
5,190,john_snow,"1,390,000","1,190,000",Джон Сноу,skin,$0.0126,0.0329%,
5,neon_23,dissolution,"1,990,000","1,990,000",Растворение,neon,$0.0075,0.0196%,
5,neon_66,neon_path,"919,000","919,000",Неоновый путь,neon,$0.0163,0.0425%,
5,neon_69,blue_flame,"999,000","999,000",Синие пламя,neon,$0.0150,0.0391%,
5,52,parkur_9,"2,700,000","2,700,000",Стойка на руках 2,anim,$0.0056,0.0145%,
,Постоянные предметы,,,,,,,0.0000%,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0050,0.0130%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0150,0.0391%,
4,750,750k,"750,000","750,000",рублей,money,$0.0200,0.0521%,
3,500,500k,"500,000","500,000",рублей,money,$0.0300,0.0782%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0500,0.1303%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.1000,0.2607%,
3,100,100k,"100,000","100,000",рублей,money,$0.1500,0.3910%,
3,,,"149,000","149,000",Серебряный кейс,other,$0.1007,0.2624%,
3,,,"297,000","297,000",3 VIP жетонов,other,$0.0505,0.1317%,
3,,,"99,000","99,000",VIP жетон,other,$0.1515,0.3950%,
1,,,"6,000","18,000",exp,exp,$0.8333,2.1724%,
1,,,"4,500","13,500",exp,exp,$1.1111,2.8965%,
1,,,"5,000","5,000",рублей,money,$3.0000,7.8206%,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0343%,
1,,,"2,500","2,500",рублей,money,$6.0000,15.6412%,
1,,,"3,000","3,000",рублей,money,$5.0000,13.0343%,
3,m3_acse03,skull_scarf,"119,000","60,000",Платок с черепом,acces,$0.2500,0.6517%,
3,m3_acse16,spiked_collar,"129,000","50,000",Шипастый ошейник,acces,$0.3000,0.7821%,
4,44,parkur_1,"500,000","30,000",Сальто назад,anim,$0.5000,1.3034%,
3,50,50k,"50,000","50,000",рублей,money,$0.3000,0.7821%,
2,25,25k,"25,000","25,000",рублей,money,$0.6000,1.5641%,
2,20,20k,"20,000","60,000",exp,exp,$0.2500,0.6517%,
1,1100,7k_exp,"7,000","21,000",exp,exp,$0.7143,1.8620%,
1,10,10k,"10,000","10,000",рублей,money,$1.5000,3.9103%,
1,1050,5k_exp,"5,000","15,000",exp,exp,$1.0000,2.6069%,
1,2,2k,"2,000","2,000",рублей,money,$7.5000,19.5515%,
1,4,4k,"4,000","4,000",рублей,money,$3.7500,9.7757%,
,,,,,,,38.36031191,100.0000%,
