working,Happy,Запуск 17.06,,,,,"$5,000.00",,Winrate_happy
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.73%
5,6631,mclaren_650s,"21,900,000","21,900,000",Mclaren 650 s,car,$0.0002,0.0005%,
5,46,ramos,"1,390,000","5,500,000",Рамос,skin,$0.0009,0.0022%,
5,68,ronaldo,"2,030,000","2,500,000",Роналду,skin,$0.0020,0.0050%,
5,57,eligant,"1,800,000","1,190,000",Элигантный,skin,$0.0042,0.0105%,
5,s22,skulls,"149,000","1,500,000",Черепа,vinyl,$0.0033,0.0082%,
5,159,scuba_diver,"3,000,000","1,500,000",Аквалангист,skin,$0.0033,0.0082%,
5,m2_asce19,mask_skull,"449,000","1,500,000",Маска череп,acces,$0.0033,0.0082%,
5,neon_49,dubstep,"939,000","1,990,000",Дабстеп,neon,$0.0025,0.0062%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,
3,,,"87,000","87,000",3 Жетона,,$0.0575,0.14%,
2,,,"29,000","29,000",Жетон,,$0.1724,0.43%,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,
3,m2_asce16,helmet_avg,"50,000","60,000",Шлем AVG,acces,$0.0833,0.21%,
