выгрузка 08.04.21,Happy,,,,,,"$5,000.00",,Winrate_happy,,
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.63%,,тюнинг топ-приза:
около 12.04,,,,,,,,,,,"{
    color = { 255, 60, 9 },
    headlights_color = {},
    height_level = 0,
    installed_vinyls = { {
            [3] = 5,
            [7] = 49,
            [10] = 192500,
            [14] = ""soft"",
            [15] = 49,
            [16] = 1,
            [17] = {
                rotation = 175.9077,
                size = 0.094807692,
                x = 328,
                y = 142
            }
        }, {
            [3] = 5,
            [7] = 32,
            [10] = 192500,
            [14] = ""soft"",
            [15] = 32,
            [16] = 2,
            [17] = {
                color = -13288100,
                rotation = 88.476921,
                size = 1.5,
                x = 938,
                y = 512
            }
        }, {
            [3] = 5,
            [7] = 32,
            [10] = 192500,
            [14] = ""soft"",
            [15] = 32,
            [16] = 3,
            [17] = {
                rotation = 88.476921,
                size = 0.83333331,
                x = 982,
                y = 512
            }
        }, {
            [3] = 5,
            [7] = 50,
            [10] = 175000,
            [14] = ""soft"",
            [15] = 50,
            [16] = 4,
            [17] = {
                color = -44986,
                rotation = 268.21539,
                size = 0.16666667,
                x = 894,
                y = 512
            }
        }, {
            [3] = 5,
            [7] = 25,
            [10] = 210000,
            [14] = ""soft"",
            [15] = 25,
            [16] = 5,
            [17] = {
                mirror = true,
                rotation = 6.6769233,
                size = 0.93153846,
                x = 533,
                y = 171
            }
        }, {
            [3] = 5,
            [7] = 25,
            [10] = 210000,
            [14] = ""soft"",
            [15] = 25,
            [16] = 6,
            [17] = {
                mirror = false,
                rotation = 172.83076,
                size = 0.82583332,
                x = 536,
                y = 849
            }
        } },
    neon_data = {},
    tuning_external = {},
    wheels_camber = { 0, 0 },
    wheels_offset = { 0, 0 },
    wheels_width = { 0, 0 },
    windows_color = { 0, 0, 0, 120 }
}"
5,401,BMW i8,"18,000,000","39,900,000",BMW i8,car,$0.0001,0.0002%,,,
5,33,wolf,"3,000,000","3,000,000",Волк,skin,$0.0017,0.0042%,,,
5,263,in_sports,"800,000","1,050,000",На спорте,skin,$0.0048,0.0119%,,,
5,neon_21,ussr,"989,000","1,190,000",СССР,neon,$0.0042,0.0105%,,,
5,neon_64,particle_explosion,"819,000","1,500,000",Взрыв частиц,neon,$0.0033,0.0082%,,,
5,183,driveway,"590,000","1,500,000",Подъездный,skin,$0.0033,0.0082%,,,
5,58,rustic,"499,000","1,000,000",Деревенский,skin,$0.0050,0.0124%,,,
5,196,shouting,"420,000","1,500,000",Дришь,skin,$0.0033,0.0082%,,,
,Постоянные предметы,,,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,,,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,,реф:,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,,,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,,,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,,,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,,,
3,,,"87,000","87,000",3 Жетона,other,$0.0575,0.14%,,,
2,,,"29,000","29,000",Жетон,other,$0.1724,0.43%,,,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,,,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,,,
3,200,grandfather,"110,000","60,000",Дед,skin,$0.0833,0.21%,,,
3,10,victory_2,"62,500","50,000",Победа_2,anim,$0.1000,0.25%,,,
4,neon_42,living_fire,"869,000","30,000",Живой огонь,neon,$0.1667,0.41%,,,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.41%,,,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,,,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.24%,,,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,,,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.38%,,,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.22%,,,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.15%,,,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.29%,,,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.44%,,,
,,,,,,,40.1845,100.0000%,,,
,,,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune,,
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,94.25%,,
,,,,,,,,,,,
