academic,Happy,Запуск 22.07,,,,,"$5,000.00",,Winrate_happy
рарность,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.93%
5,6621,lexus_lfa,"15,900,000","15,900,000",Lexus LFA,car,$0.0003,0.0007%,
5,6740,rick,"1,290,000","5,500,000",Рик,skin,$0.0009,0.0022%,
5,97,lecturer,"710,000","2,500,000",Лектор,skin,$0.0020,0.0050%,
5,70,walter,"890,000","1,190,000",Волтер,skin,$0.0042,0.0105%,
5,s121,kraken,"99,000","1,500,000",Кракен,vinyl,$0.0033,0.0082%,
5,7,ben,"300,000","1,500,000",Бен,skin,$0.0033,0.0082%,
5,tie_y,yellow_tie,"220,000","1,500,000",желтый_галстук,acces,$0.0033,0.0082%,
5,neon_51,rorshech_is_over,"889,000","1,990,000",Роршех кончился,neon,$0.0025,0.0062%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0017,0.0042%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0050,0.0124%,
4,750,750k,"750,000","750,000",рублей,money,$0.0067,0.0167%,
3,500,500k,"500,000","500,000",рублей,money,$0.0100,0.0249%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0167,0.0416%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0333,0.0829%,
3,,,"87,000","87,000",3 Жетона,,$0.0575,0.14%,
2,,,"29,000","29,000",Жетон,,$0.1724,0.43%,
2,,repairbox,"25,000","25,000",Рем. комплект,other,$0.2000,0.50%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,,,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,,,"1,000","1,000",рублей,money,$5.0000,12.44%,
3,glasses2,round_glasses,"69,000","60,000",Круглые_очки,acces,$0.0833,0.21%,
3,s121,carpenterbrut,"69,000","50,000",Кракен,vinyl,$0.1000,0.25%,
4,24,facepalm,"800,000","30,000",Facepalm,anim,$0.1667,0.41%,
2,30,30k,"30,000","30,000",рублей,money,$0.1667,0.41%,
2,20,20k,"20,000","20,000",рублей,money,$0.2500,0.62%,
2,10,10k,"10,000","10,000",рублей,money,$0.5000,1.24%,
1,5,5k,"5,000","15,000",exp,exp,$0.3333,0.83%,
1,1100,3k_exp,"3,000","9,000",exp,exp,$0.5556,1.38%,
1,2,2k,"2,000","2,000",рублей,money,$2.5000,6.22%,
1,1050,1_exp,"1,000","3,000",exp,exp,$1.6667,4.15%,
1,1_5,1_5k,"1,500","1,500",рублей,money,$3.3333,8.30%,
1,1,1k,"1,000","1,000",рублей,money,$5.0000,12.44%,
,,,,,,,$40.1786,100.0000%,
,,,,,,,,,
,Fortune,,,,,,"$10,000.00",,Winrate_fortune
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,93.64%
5,6621,lexus_lfa,"15,900,000","15,900,000",Lexus LFA,car,$0.0006,0.0016%,
5,6740,rick,"1,290,000","5,500,000",Рик,skin,$0.0018,0.0047%,
5,97,lecturer,"710,000","2,500,000",Лектор,skin,$0.0040,0.0104%,
5,70,walter,"890,000","1,190,000",Волтер,skin,$0.0084,0.0219%,
5,s121,kraken,"99,000","1,500,000",Кракен,vinyl,$0.0067,0.0175%,
5,7,ben,"300,000","1,500,000",Бен,skin,$0.0067,0.0175%,
5,tie_y,yellow_tie,"220,000","1,500,000",желтый_галстук,acces,$0.0067,0.0175%,
5,neon_51,rorshech_is_over,"889,000","1,990,000",Роршех кончился,neon,$0.0050,0.0130%,
,Постоянные предметы,,,,,,,,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0033,0.0086%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0100,0.0261%,
4,750,750k,"750,000","750,000",рублей,money,$0.0133,0.0347%,
3,500,500k,"500,000","500,000",рублей,money,$0.0200,0.0521%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0333,0.0868%,
3,1003,start_pack,"150,000","150,000",Стартовый пакет,other,$0.0667,0.1738%,
3,100,100k,"100,000","100,000",рублей,money,$0.1000,0.2605%,
3,,,"99,000","99,000",Бронзовый кейс,,$0.1010,0.2632%,
3,,,"87,000","87,000",3 Жетона,,$0.1149,0.2994%,
2,,,"29,000","29,000",Жетон,,$0.3448,0.8984%,
2,repairbox,,"25,000","25,000",Рем. комплект,other,$0.4000,1.0422%,
1,,,"4,000","12,000",exp,exp,$0.8333,2.1712%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4220%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4220%,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0274%,
1,,,"2,000","2,000",рублей,money,$5.0000,13.0274%,
1,,,"2,500","2,500",рублей,money,$4.0000,10.4220%,
3,glasses2,round_glasses,"69,000","60,000",Круглые_очки,acces,$0.1667,0.4343%,
3,s121,carpenterbrut,"69,000","50,000",Кракен,vinyl,$0.2000,0.5211%,
4,24,facepalm,"800,000","30,000",Facepalm,anim,$0.3333,0.8684%,
3,50,50k,"50,000","50,000",рублей,money,$0.2000,0.5211%,
2,25,25k,"25,000","25,000",рублей,money,$0.4000,1.0422%,
2,20,20k,"20,000","30,000",exp,exp,$0.3333,0.8684%,
1,1100,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3426%,
1,10,10k,"10,000","10,000",рублей,money,$1.0000,2.6055%,
1,1050,2k_exp,"2,000","6,000",exp,exp,$1.6667,4.3426%,
1,2,2k,"2,000","2,000",рублей,money,$5.0000,13.0274%,
1,3,3k,"3,000","3,000",рублей,money,$3.3333,8.6849%,
,,,,,,,$38.3805,100.0000%,
,,,,,,,,,
,Story,,,,,,"$15,000.00",,Winrate_story
,id,name,cost,chance_correction (не для учета),name_ingame,type,chance_happy_drop,chance_happy,91.29%
5,6621,lexus_lfa,"15,900,000","15,900,000",Lexus LFA,car,$0.0009,0.0025%,
5,6740,rick,"1,290,000","5,500,000",Рик,skin,$0.0027,0.0071%,
5,97,lecturer,"710,000","2,500,000",Лектор,skin,$0.0060,0.0156%,
5,70,walter,"890,000","1,190,000",Волтер,skin,$0.0126,0.0329%,
5,s121,kraken,"99,000","1,500,000",Кракен,vinyl,$0.0100,0.0261%,
5,7,ben,"300,000","1,500,000",Бен,skin,$0.0100,0.0261%,
5,tie_y,yellow_tie,"220,000","1,500,000",желтый_галстук,acces,$0.0100,0.0261%,
5,neon_51,rorshech_is_over,"889,000","1,990,000",Роршех кончился,neon,$0.0075,0.0197%,
,Постоянные предметы,,,,,,,0.0000%,
4,3000,3_mln,"3,000,000","3,000,000",рублей,money,$0.0050,0.0130%,
4,1000,1_mln,"1,000,000","1,000,000",рублей,money,$0.0150,0.0391%,
4,750,750k,"750,000","750,000",рублей,money,$0.0200,0.0522%,
3,500,500k,"500,000","500,000",рублей,money,$0.0300,0.0782%,
3,1014,prem_3d,"300,000","300,000",Прем 3 дня,prem,$0.0500,0.1304%,
